Adoszam,Cegnev,ir.szam,Szekhely,TEÁOR,Tevekenyseg,e-mail,net_arbevetele,eredmeny,Tulajdonos,Helyseg,Jogallas,Varmegye,Terulet_hektar,Nepesseg,Lakasok_szama,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
26681524-2-13,Natural Power Energetikai Zrt.,2040,Budaörs,7112'25,"Mérnöki tevékenység, műszaki tanácsadás",npezrt@gmail.com,4761931,1940891,Perneki Antal,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
11406998-2-08,Nolato Magyarország Kft.,9200,Mosonmagyaróvár,2226'25,Egyéb műanyag termék gyártása,norbert.meleg@nolato.com,44093330,4788874,Nolato Aktiebolag,Mosonmagyaróvár,város,Győr-Moson-Sopron,8378,33743,16665,,,,,1,,1,,,,,1,
10452556-2-44,PENTA Kft.,2100,Gödöllő,4221'25,Folyadék szállítására szolgáló közmű építése,iroda@pentakft.hu,15804973,930321,"Nagy Gábor Lajos,Borbély Máté István",Gödöllő,város,Pest,6193,32410,13676,,,,1,1,,1,,,,,,
26146339-2-13,Manker Beauty Kft.,2111,Szada,4791'25,Vegyes termékkörű kiskereskedelem közvetítése,mankershopkft@gmail.com,2504992,930094,"Kasza Gábor József,Kasza-Darai Andrea Éva,Kasza Tibor Roland",Szada,nagyközség,Pest,1671,6631,2242,,,,,,,,,,,,,
11071462-4-44,PETROLSZOLG Kft.,2440,Százhalombatta,3312'25,"Ipari gép, berendezés javítása, karbantartása",petrolszolg@petrolszolg.hu,80788888,4779835,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,Százhalombatta,város,Pest,2806,18115,7841,,,,,,,,1,,1,,,
32029312-2-44,MKIF Quartus Zrt.,2040,Budaörs,4211'25,"Út, autópálya építése",cegkapu_quartus@mkif.hu,25531825,4767841,"KONZUM PE Magántőkealap,OPUS NEW WAY Magántőkealap",Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
13100887-2-04,ALFÖLDVÍZ Zrt.,5600,Békéscsaba,3600'25,"Víztermelés, -kezelés, -ellátás",titkarsag@alfoldviz.hu,17980000,4751000,"Nemzeti Vízművek Zártkörűen Működő Részvénytársaság,Önkormányzatok",Békéscsaba,"megyeszékhely, megyei jogú város",Békés,19393,53944,30047,,,,1,1,,1,1,,,1,,1
10969629-2-44,Penny-Market Kft.,2351,Alsónémedi,4711'25,Élelmiszer jellegű vegyes kiskereskedelem,info@penny.hu,518626900,4746419,REWE-Beteiligungs-Holding International GmbH.,Alsónémedi,nagyközség,Pest,4907,5584,2193,,,,,,,,,,,,,
11149769-2-44,ROSSMANN Magyarország Kft.,2225,Üllő,4775'25,"Illatszer, kozmetikai cikk, tisztálkodószer kiskereskedelme",tothg@rossmann.hu,175482986,4713605,ROSSMANN CENTRAL EUROPE B.V.,Üllő,város,Pest,4810,12693,4704,,,,,,,1,,,,,,
11590581-2-06,VENTAS Kft.,6800,Hódmezővásárhely,7740'25,"Immateriális javak kölcsönzése, kivéve a szerzői jogdíjban részesülő javakat",info@ventascoffee.hu,1491703,4664965,"SOLIDIUM CAPITAL Korlátolt Felelősségű Társaság,PROJECT SIX PRO Korlátolt Felelősségű Társaság,Jumpy Investment Korlátolt Felelősségű Társaság,Caudal Investment Korlátolt Felelősségű Társaság,Veszelovszki Lászlóné,Veszelovszki Balázs",Hódmezővásárhely,megyei jogú város,Csongrád-Csanád,48798,41669,20629,,,,,1,,1,1,,,,,
11863650-2-11,GRUNDFOS Magyarország Kft.,2800,Tatabánya,2813'25,"Egyéb szivattyú, kompresszor gyártása",info.gmh@grundfos.com,47018466,4657000,GRUNDFOS HOLDING A/S,Tatabánya,"megyeszékhely, megyei jogú város",Komárom-Esztergom,9142,64785,31550,,1,,1,1,,1,1,,,1,,1
27894602-2-02,BMB-HUNGARY Kft.,7700,Mohács,0146'25,Sertéstenyésztés,iroda.agraripari@gmail.com,10695851,4577713,KDN HOLDING Vagyonkezelő Korlátolt Felelősségű Társaság,Mohács,város,Baranya,11223,17054,8531,,,1,,1,,1,,,1,,,
13937856-2-06,MVM Égáz-Dégáz Zrt,6724,Szeged,3522'25,Gázelosztás,info@mvmedgazhalozat.hu,35544000,4551000,MVM Energetika Zártkörűen Működő Részvénytársaság,Szeged,"megyeszékhely, megyei jogú város",Csongrád-Csanád,28100,157282,88894,1,1,,1,1,1,1,1,1,1,1,,1
13534776-2-11,Bridgestone Tatabánya Kft.,2851,Környe,2211'25,"Gumiabroncs, gumitömlő gyártása",bshmaltalanos@bridgestone.eu,97655000,4539000,Bridgestone Europe NV,Környe,község,Komárom-Esztergom,4537,4801,1848,,,,,1,,,,,,,,
27295199-2-07,V-Híd Network Kft.,8086,Felcsút,4212'25,Vasút építése,info@vhidnetwork.hu,33889500,4538929,"V-Híd Vagyonkezelő Korlátolt Felelősségű Társaság,Mészáros Lőrinc",Felcsút,község,Fejér,2202,2014,725,,,,,,,,,,,,,
13667168-2-43,Intertoll-Europe ZRt.,1118,Budapest,5221'25,Szárazföldi szállítást kiegészítő szolgáltatás,,1604629,5542344,Intertoll Infrastructure Developments B.V.,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10359185-2-07,VIDEOTON EAS Kft.,8000,Székesfehérvár,2612'25,Elektronikai áramköri kártya gyártása,igazgatosag@veas.videoton.hu,57436676,4454410,VIDEOTON HOLDING Zártkörűen működő Részvénytársaság,Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
25903900-2-11,JWH Kft.,2900,Komárom,2014'25,Szerves vegyi alapanyag gyártása,jwh@jaewon.co.kr,36257313,4427057,"Jaewon Industrial Co., Ltd",Komárom,város,Komárom-Esztergom,6991,19862,8996,,,,,,,1,,,,,,
11259789-2-15,AKTUÁL BAU Kft.,4400,Nyíregyháza,4100'25,Lakó- és nem lakóépület építése,aktbau@aktualbau.hu,32709126,4413011,"Hársfalvi Péter,Katona József,Hársfalvi Gergely,Haraszti Mihály,Hársfalvi Gergely,Lápossi Attila József,Kormány Bálint,Éliás Tibor,Urbin István,Ernyes Csaba,Katona József,Garai Balázs,Ivánkovics András,Szabó Péter,Vén Imre,Orosné Zsukk Piroska,Somos Zoltán,Mosó Róbert Sándor,Heim Roland,Ilyés Annamária,Ráthi Tibor,Holczer György,Kósa-Miseta Melinda Edit,Császár András,Bársony Zoltán",Nyíregyháza,"megyeszékhely, megyei jogú város",Szabolcs-Szatmár-Bereg,27454,114873,54384,,1,,1,1,1,1,,1,,1,,1
11069674-2-05,ONGROPACK KFT.,3711,Szirmabesenyő,2221'25,"Műanyag lap, lemez, fólia, cső, profil gyártása",,26076034,4288614,"Kovács Ferenc László,Kovács Eszter",Szirmabesenyő,nagyközség,Borsod-Abaúj-Zemplén,1575,4331,1663,,,,,,,,,,,,,
12500909-2-20,ZALACO ZRt.,8900,Zalaegerszeg,1071'25,Kenyér; friss pékáru gyártása,zalaco@zalaco.hu,23184767,4286347,"Berta Lászlóné,Berta László,Berta Orsolya Emőke,dr. Berta Bianka Csilla,Berta Lászlóné,Berta Bianka Csilla,Berta Orsolya Emőke",Zalaegerszeg,"megyeszékhely, megyei jogú város",Zala,10246,53960,27954,,,1,,1,,1,,,,,,
10545863-2-44,MAPEI KFT.,2040,Budaörs,4683'25,"Fa-, építőanyag-, szaniteráru-nagykereskedelem",e-szamla@mapei.hu,33927506,4158813,"MAPEI S.P.A.,Mapefin Austria G.m.b.H.",Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
28377643-2-07,Bericap Záródástechnikai Cikkeket Gyártó Bt.,8000,Székesfehérvár,2222'25,Műanyag csomagolóeszköz gyártása,info.hungary@bericap.com,33499021,4153903,"Bericap Hungária Befektetési Kft.,Bericap Capital GmbH & Co. KG",Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
11467058-4-41,Raiffeisen Befektetési Alapkezelő Zrt.,1133,Budapest,6630'25,Alapkezelés,info@raiffeisen.hu,7716606,4498478,Raiffeisen Bank Zártkörűen Működő Részvénytársaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10537914-4-44,OTP Bank Nyrt.,1051,Budapest,6419'25,Egyéb monetáris közvetítés,informacio@otpbank.hu,2526361000,744999000,"MOL Magyar Olaj- és Gázipari Nyrt.,Groupama Csoport (5,05% Groupama Gan Vie SA, 0,05% Groupama Biztosító Zrt.),Egyéb részvényesek (OTP Bank Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
26495066-2-43,International Flavors & Fragrances I.F.F. (Hungary) Kft.,1095,Budapest,8210'25,"Adminisztratív, üzletmenetet támogató szolgáltatás",muriel.codaccioni@iff.com,8056631,516018866,International Flavors & Fragrances Ardenne S.á.r.l.,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10625790-4-44,MOL Nyrt.,1117,Budapest,1920'25,"Kőolaj-feldolgozás, fosszilis tüzelőanyag-termékek gyártása",cegkapu@mol.hu,3349746000,309021000,"MOL-Új Európa Alapítvány,Maecenas Universitatis Corvini Alapítvány,Mathias Corvinus Collegium Alapítvány,OTP Bank Nyrt.,MOL Nyrt. KMRP Szervezet 2021-1, MOL Nyrt. KMRP Szervezet 2021-2,Egyéb részvényesek (MOL Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10484878-2-44,Richter Gedeon Nyrt.,1103,Budapest,2120'25,Gyógyszerkészítmény gyártása,elektronikus.kezbesites@richter.hu,721981000,250634000,"Maecenas Universitatis Corvini Alapítvány,Mathias Corvinus Collegium Alapítvány,Nemzeti Egészségügyi és Orvosképzésért Alapítvány,FMR LLC,Egyéb részvényesek (Richter Gedeon Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
11346966-2-20,E.ON Közép-dunántúli Gázhálózati Zrt.,8800,Nagykanizsa,3522'25,Gázelosztás,ertesites.eko@eon-hungaria.com,17308905,4141125,"E.ON Hungária Energetikai Zártkörűen Működő Részvénytársaság,Egyéb részvényes (E.ON Közép-dunántúli Gázhálózati Zrt.)",Nagykanizsa,megyei jogú város,Zala,14840,42042,23492,,,1,,1,,1,,,,,,
11030630-2-03,FÉLEGYHÁZI PÉKSÉG Kft.,6100,Kiskunfélegyháza,1071'25,Kenyér; friss pékáru gyártása,info@felegyhazipekseg.hu,34129979,4136368,"Gulyás Gergő,Gulyás Szilvia,Gulyás István,Gulyásné Baracsi Beatrix",Kiskunfélegyháza,város,Bács-Kiskun,25630,28382,14672,,,,,,,1,,,,,,
10268856-2-19,Charles River Laboratories Hungary Kft.,8200,Veszprém,7120'25,"Műszaki vizsgálat, elemzés",,14099904,4112316,CRL Group International France SAS,Veszprém,"megyeszékhely, megyei jogú város",Veszprém,12692,55118,27698,,,,1,1,1,1,,,,,,1
12746833-2-05,Robert Bosch Power Tool Kft.,3526,Miskolc,2824'25,Gépi meghajtású hordozható kézi szerszámgép gyártása,info@hu.bosch.com,335979684,4090617,Scintilla AG,Miskolc,"megyeszékhely, megyei jogú város",Borsod-Abaúj-Zemplén,23667,141440,79234,1,1,,1,1,1,1,,1,,1,,1
13443966-2-44,Tízpróba Magyarország Kft.,2040,Budaörs,4712'25,Iparcikk jellegű vegyes kiskereskedelem,decathlon.legal@decathlon.com,86220856,4088364,Decathlon SE,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
12658387-2-05,Jabil Circuit Magyarország Kft.,3580,Tiszaújváros,2611'25,Elektronikai alkatrész gyártása,tis_jabil_info@jabil.com,411862333,4051084,"Jabil Circuit Netherlands B.V.,JABIL CIRCUIT LIMITED",Tiszaújváros,város,Borsod-Abaúj-Zemplén,4604,14060,7493,,,,,,,1,,,,,,
11006725-2-02,E.ON Dél-dunántúli Gázhálózati Zrt.,7626,Pécs,3522'25,Gázelosztás,ertesites.edd@eon-hungaria.com,17802136,4043419,"E.ON Hungária Energetikai Zártkörűen Működő Részvénytársaság,Egyéb részvényes (E.ON Dél-dunántúli Gázhálózati Zrt.)",Pécs,"megyeszékhely, megyei jogú város",Baranya,16278,139412,74470,1,1,1,1,1,1,1,1,1,1,,,1
11185871-2-11,Tyco Electronics Hungary Kft.,2500,Esztergom,2611'25,Elektronikai alkatrész gyártása,t.csilla@te.com,138867642,4037235,Tyco Electronics (Schweiz) Holding II GmbH,Esztergom,megyei jogú város,Komárom-Esztergom,10011,28521,12440,,,,1,1,,1,,,,1,,
12492448-2-44,Bunzl Magyarország Kft.,2051,Biatorbágy,4690'25,Vegyes termékkörű nagykereskedelem,csernusz@vjt-partners.com,28721416,4011576,Selectuser Limited,Biatorbágy,város,Pest,4412,15444,5851,,,,,1,,,,,,,,
14120486-2-44,MVM Balance Zrt.,2040,Budaörs,3511'25,Villamosenergia-termelés nem megújuló forrásból,titkarsag@balance.mvm.hu,47060657,3950097,MVM Energetika Zártkörűen Működő Részvénytársaság,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
12493188-2-04,Mondi Békéscsaba Kft.,5600,Békéscsaba,2222'25,Műanyag csomagolóeszköz gyártása,,34258594,3940721,"Mondi Consumer Bags & Films B.V.,Mondi AG",Békéscsaba,"megyeszékhely, megyei jogú város",Békés,19393,53944,30047,,,,1,1,,1,1,,,1,,1
10760798-2-44,MVM Zrt.,1031,Budapest,6421'25,Vagyonkezelés (holding),mvm@mvm.hu,56080000,176818000,Magyar Állam,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
13736686-2-08,E.ON Gazdasági Szolgáltató Kft.,9027,Győr,5225'25,Logisztikai szolgáltatás,ertesites.egs@eon-hungaria.com,55274625,3885737,E.ON Hungária Energetikai Zártkörűen Működő Részvénytársaság,Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
14392911-2-15,NZRT-TRADE Kft.,4400,Nyíregyháza,4685'25,Vegyi áru nagykereskedelme,bigeholding.titkarsag@bigeholding.hu,31051618,3881437,"Bige Zoltán József,Bige Dávid Tibor,Bige László Tibor,Bige Zalán László",Nyíregyháza,"megyeszékhely, megyei jogú város",Szabolcs-Szatmár-Bereg,27454,114873,54384,,1,,1,1,1,1,,1,,1,,1
11535197-2-20,Orange1 Hungary Kft.,8800,Nagykanizsa,2711'25,"Villamos motor, áramfejlesztő gyártása",orange1hungary-board@orange1.eu,17187445,3865296,Orange 1 Holding S.á.r.l.,Nagykanizsa,megyei jogú város,Zala,14840,42042,23492,,,1,,1,,1,,,,,,
11062316-2-05,FRAMOCHEM Kft.,3700,Kazincbarcika,2014'25,Szerves vegyi alapanyag gyártása,info@framochem.hu,18915127,3853903,VanDeMark Chemical B.V.,Kazincbarcika,város,Borsod-Abaúj-Zemplén,3664,23608,13039,,,,1,1,,1,,,,,,
11225087-2-14,VIDEOTON Elektro-PLAST Kft.,7400,Kaposvár,2751'25,Háztartási villamos készülék gyártása,palca.levente@vtep.videoton.hu,50233888,3850733,VIDEOTON HOLDING Zártkörűen működő Részvénytársaság,Kaposvár,"megyeszékhely, megyei jogú város",Somogy,11359,58459,30768,,,1,1,1,,1,,,,,,1
13237912-2-19,NAPCSILLAG Kft.,8400,Ajka,4712'25,Iparcikk jellegű vegyes kiskereskedelem,napcsillag@ecofamily.hu,111752276,3849588,"Korbély István,Korbély György",Ajka,város,Veszprém,9504,26007,12908,,,,,1,,1,,,,,,
10637959-2-44,Kőröstej kft.,2745,Kőröstetétlen,1051'25,Tejfeldolgozás,mail@korostej.hu,61700400,3819512,Caravanes Kereskedelmi Kft.,Kőröstetétlen,község,Pest,3265,728,329,,,,,,,,,,,,,
27426902-4-03,Duna Aszfalt Építő Zrt.,6060,Tiszakécske,4211'25,"Út, autópálya építése",kozpont@dunaaszfalt.hu,41904268,3767045,Szíjj László,Tiszakécske,város,Bács-Kiskun,13327,11654,5595,,,,,,,,,,,,,
11033138-2-03,AGRIKON KAM. Kft.,6120,Kiskunmajsa,2830'25,"Mezőgazdasági, erdészeti gép gyártása",agrikon.kam@agrikon.hu,22162407,3765502,"BODHI Holdings S.A.,""INTERTRIÓ"" Kereskedelmi Korlátolt Felelősségű Társaság,Fehér Miklós,Bába József,Balasi János,Balog László,Baranyi István Jánosné,Borbély István János,Gazsóné Botos Piroska,Csuka László,Csupity László,Dabis Tibor Istvánné,Deli József,Dragon Lajos Zoltánné,Fehér Imréné,Szikora Erzsébet,Herpai Sándorné,Illés László,Kis István,Lány Sándor,Lódri János,Lódri Jánosné,Mészáros István,Nagy Zoltán János,Patyi Mihályné,Pelikán Györgyi,Tóth István,Tóth János,Törteli Zoltán Albertné,Vágó Lajosné,Váradi András,Csanádi Kálmán,Görög Balázsné,Kalmár Pálné,Kiss István,Kiss Mihályné,Kolláth Istvánné,Lajos László,Lapéta Józsefné,Pintér Károly,Szabó László,Szabó Mihály,Tóth Anna,Balog Csaba,Kálló István,Zsíros Imréné,Gerse Csabáné,Kovács Imre Györgyné,Krupincza Sándor,Garas Mihály Tibor,Kurgyis Sándor,Szabó Imre,Kertész-Farkas István,Ország-Sugár Róbert László,Kiss Istvánné,Gréczi Miklós,Bagi János Ferenc,Nagy József Sándor,Csuthi Béla,Kis Attiláné,Szekeres Ferenc,Rokolya Sándorné,Szécsény István,Sütő Bálint,Fekete Vince,Provics János Istvánné,Tóth Lajos Sándor,Zsán-Klúcsó János,Csuka László,Csontos Rudolfné,Dukai József,Eszik Imre János,Vereb Lászlóné,Dudás István,Vadkerti-Tóth Benjámin János,Pócsi Erika,Gréczi Miklós,Balogné Szabó Gyöngyi,Kakuk László,Rimár Pál,Varga Ákos,Nyerges István,Kun József István,Péter-Szabó József,Rizingerné Szabó Erika,Nagy Kálmán János,Nemes-Nagy Ferenc,Czagány István,Tasi István,Bánfiné Szigeti Karolina,Szarka-Kovács István,Dávid Árpád,Sipos Gyula,Gurdicsné Juhász Mária Valéria,Andrássy Gábor,Sütőné Gáspár Katalin,Csukonyi Zoltán,Kertész Zsolt,Nyerges Mihály,Harkai Gézáné,Szikora Lajos,Kispál Ferenc,Sipos-Szabó Lajosné,dr. Bajzik László,Bíróné Molnár Mária Etelka,Boda Péterné,Gál Endre,Farkas Ferenc,dr. Németh Nóra Krisztina,Patyi Imre,Losonczi Róbert Mihály,Szabó József Vilmos,Lukács Zsolt Gábor,Fehér László,Gál Károly,Nógrádi István,Nagy Mihály,Dunai Márton Tibor,Kuklis József Balázsné,Bera Róbert,Gál István,Dávid Zoltánné,Dragon László,Farkas János,Ruskó Gyuláné,Balog Ferencné,Kovács István,Bagi Zoltán Tibor,Juhász László,Tornóczky Zoltán Jánosné,Szikora Tibor,Bangó László,Jóka Attila,Szabó Sándorné,Csáki Pál,Herberger Lajos,Szabóné Demeter Edit,Bartha Csaba István,Vizi János,Hugyecz Pál,Nyerges Lajosné,Czinkóczi Ervin,Tegzes Evelin,Fehér Miklós,Krupinczáné Gyuris Éva Margit,Vadkerti-Tóth Károly,Péter-Szabó István,Rádóczi Béla,Grezsa Dezső Józsefné,Balog Ferenc Imre,Galambos Illés Istvánné,Leány András,Rékasi János Mihály,Gerse László,Lódri Krisztián,Jóka Ottó Zoltánné,Vereb László,Csáki Zoltán,Vajda István Rudolf,Ruskó Ferenc Jenő,Bóna Gyuláné,Fábián József Mihály,Balogh László,Herédi-Szabó Lajos,Dakó Antal Gergelyné,Kuklis József Balázs,Csontos Rudolf,Csontos Imre,Huszka Zsuzsanna Terézia,Balogh Zsuzsanna,Nyilas József,Grezsa Dezső,Kálmánné Ősze Magdolna,Borka Ferenc,dr. Jakab Sándor,Csiszár Ferencné,Horváth Zoltán,Babenyecz Csaba,Tóth Lajos Sándorné,Lódri-Balog István Zoltán,Papp Tibor,Hódi András,Molnár Zoltán,Törteli László,Terbe Sándorné,Kovács Imréné,Kapás László,Lantos Sándorné,Sója Tivadar Zoltán,Gama-Kovács László Sándorné,Klein Jánosné,Herczeg Ferenc,Rácz András Mátyás,Labancz Ferencné,Hegedűs Tibor Zoltán,Krisztián Imre Istvánné,Német Nándor,Szakácsi Ferenc,Juhász Józsefné,Tápai József Andrásné,Polyák Márta,Kovács László,Faragó József,Kis Sándor,Vörösné dr. Horváth Andrea,Pallagi Róbert Lajos,Leány Benjámin Józsefné,Fehér János,Gubicza Tibor,Dragon Antal,Ruskóné Patyi Erika Mária,Vékony Mihályné,dr. Kálmán Orsolya,Horváth Jenő,Zsolnai Ferenc János,Tóth Pál János,Kenderes Jolán Rozália,Valter Pál,Varga Imre,Vizhányó Károly,Zsámboki Attila Zsolt,Pusztafi Attila,Ruskó Zoltán,Vörös Józsefné,Árvai István,Szarka Tibor,Valentovicsné Szikora Szilvia,Kálmán Richárd,Fürdős Ferenc,Pusztafi Attila,Ruskó Zoltán,Hajagos-Tóth Zsolt,Zsikla Attila,Bezsenyiné Vida Irén Ilona,Péter-Szabó Andrea,Törteli Zoltán,Banczik Róbert,Pellikán László,Polyák Istvánné,Váradi András,Balog István,Dragon Lajos Zoltánné,Biró Józsefné,Szabó Éva,Sebők Zsolt,Balog Klára,Fazekas János,Német Zsolt,Baky Lajos Istvánné,Kovács Anita Ildikó,Lázár István,Makainé Simony Renáta,Zilahi-Sebess Ágnes,Béres Ferencné,Szücs Andrásné,Zilahi-Sebess Ágnes,Zilahi-Sebess Péter,Nyáriné Dobák Erika,Dobák Tünde,Tegzes Petra,Tegzes Eszter,Tegzes Dénes,Szarka Tibor,Vargáné Szarka Adrienn,Balog Katalin,Tegzes Evelin,Szikora Ildikó,Valentovicsné Szikora Szilvia,Kálmán Norbert,Kálmán Richárd,Sipos Antalné,Feldman Renáta,Szabó Attiláné,Fürdős Ferenc,Rozmisné Fürdős Beáta,Pálfi Bernadett,Pusztafi Attila,Sipos-Szabó Andorné,Racsmánné Dobák Márta,Rabiné Dobák Zsuzsanna,Dobák Gábor,Ruskó Csaba,Ruskó Zoltán,Hajagos-Tóth Zsolt,Peregi Péterné,Tóthné Nagy Annamária,Zsikla Attila,Zsikla Tibor,Bezsenyiné Vida Irén Ilona,Pajlovicsné Vida Ildikó Erzsébet,Tőzsér Levente,Bibok Roland,Kádár-Németh Attila,Gárdonyné Kádár-Németh Anita,Porvan Sándor Imréné,Mizsei Károly,Abeledo Lopez Anita,Török Tímea,Rigóné Horváth Enikő,Kuruczné Virág Olga,Szilvási Mihály,Szilvási Zoltán,Törteli Klára,Törteli Zoltán,Törteli János,Törteli Viola,Váradi András,Váradi László,Tőzsér Zoltán,Dragon Lajos Zoltánné,Sziráki-Dragon Annamária,Kissné Virág Katalin Szilvia,Dénes Anita,Fazekas János,Fazekas Szilvia,Bozóki Péter,Makainé Simony Renáta,Zorgelné Simony Andrea,Nagy János,Kis Attiláné,Lány Bence,Boros Edit,Boros Edit,Rudolf-Dragon Frigyes Vilmos,Schneider Edina,Kovács-Bera Zoltán Béla,Kovács-Bera Zoltán Béla,Horváth András Károly,Faragó László,Gama-Kovács Zoltán Jánosné,Fürdős Éva,Eszik Imre Jánosné,Bibok Róbert Béla,Lány Ádám,Lány Ádám,Fésűs Sándorné,Szabó György Jenő,Szabó György Jenő,Szabó Pál József,Ancsa-Molnárné Apró Katalin,Németh Mária,Moravec Katalin,Balog Tibor,Balog Tibor,Németh Erika,Németh Erika,Pálfi Anita,Pálfi Anita,Patyi Zoltán Ferenc",Kiskunmajsa,város,Bács-Kiskun,22227,10853,5474,,,,,,,1,,,,,,
12618398-2-09,Flexi Force Hungary Kft.,4031,Debrecen,2512'25,Fém épületelem gyártása,infohu@flexiforce.com,18557990,1670088,Flexi-Force B.V.,Debrecen,"megyeszékhely, megyei jogú város",Hajdú-Bihar,46166,202130,100621,1,1,,1,1,1,1,1,1,,,,1
23196081-2-44,BHS Trans Kft.,2120,Dunakeszi,4941'25,Közúti áruszállítás,herbszt.gabor@bhstrans.hu,24456509,3719196,Herbszt Gábor,Dunakeszi,város,Pest,3106,42630,18584,1,,,1,1,,1,,,,,,1
10011922-4-44,MBH Bank Nyrt.,1056,Budapest,6419'25,Egyéb monetáris közvetítés,ugyfelszolgalat@mbhbank.hu,1232359000,158753000,"Zenith Asset Management Zrt.,Corvinus BHG Zrt.,CEE Horizon Capital Zrt.,CEE Paramount Equity Zrt.,Hungary Apex Investments Zrt.,Pinnacle Asset Group Zrt.,Saját részvény,Egyéb részvényesek (MBH Bank Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10773381-2-44,Magyar Telekom Nyrt.,1097,Budapest,6110'25,"Vezetékes, vezeték nélküli és műholdas távközlés",hivatalos.irat@telekom.hu,794514000,154012000,"Deutsche Telekom Europe B.V.,Saját részvény,Egyéb részvényesek (Magyar Telekom Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
11775197-2-03,MASPEX OLYMPOS KFt.,6032,Nyárlőrinc,1107'25,"Üdítőital, ásványvíz gyártása",info@olympos.hu,58770574,3707000,TYMBARK-MWS SPÓLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Nyárlőrinc,község,Bács-Kiskun,6636,2257,1015,,,,,,,,,,,,,
26732479-2-03,SUGO FOOD Kft.,6500,Baja,1039'25,"Egyéb gyümölcs-, zöldségfeldolgozás, -tartósítás",info@sugofood.com,20175612,3601497,Roger et Roger N.V.,Baja,megyei jogú város,Bács-Kiskun,17789,32401,17325,,,1,,1,,1,,,1,,,
12493164-2-03,STI Petőfi Nyomda Kft.,6000,Kecskemét,1721'25,Papír csomagolóeszköz gyártása,service.hu@sti-group.com,38691295,3566306,STI-Gustav Stabernack GmbH,Kecskemét,"megyeszékhely, megyei jogú város",Bács-Kiskun,32257,108651,55648,1,,1,,1,1,1,,,,,,1
12559068-2-44,ECSERI Kft.,2700,Cegléd,2453'25,Könnyűfémöntés,monika.ecseri@ecserikft.hu,14107758,3550035,E & K Investment Bizalmi Vagyonkezelő Korlátolt Felelősségű Társaság,Cegléd,város,Pest,24490,36125,16340,,,,,1,,1,,,,,,1
32393592-2-07,SPIN Magyarország Kft.,2060,Bicske,6820'25,"Saját tulajdonú, bérelt ingatlan bérbeadása, üzemeltetése",spin.kezbesites@spar.hu,13263000,3548000,Aspiag Management AG,Bicske,város,Fejér,7708,11248,4446,,,,,,,1,,,,,,
25319721-2-13,Visual Europe Zrt.,2151,Fót,7739'25,"M.n.s. egyéb gép, tárgyi eszköz kölcsönzése",info@visualeurope.hu,11395758,3543268,"New Land Media Reklám, Szolgáltató és Kereskedelmi Kft.,VISINVEST Korlátolt Felelősségű Társaság ""végelszámolás alatt""",Fót,város,Pest,3740,20823,7786,,,,,,,,,,,,,
10540703-2-19,HARIBO Hungária Kft.,8248,Nemesvámos,1082'25,Édesség gyártása,,31633730,3542256,HARIBO International GmbH,Nemesvámos,község,Veszprém,4078,3003,1034,,,,,,,,,,,,,
10580967-2-03,PROTOKON KFT.,6200,Kiskőrös,3230'25,Sportszergyártás,ildiko.dulai@lifefitness.com,33909023,3507779,Lumos Holdings Hungary Korlátolt Felelősségű Társaság,Kiskőrös,város,Bács-Kiskun,10223,13106,6876,,,,,1,,1,,,,1,,
